trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-291.79323474787213,"{0: 14, 1: 1, 2: 6, 3: 6, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-119.83313528360468,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,13,-114.7997969370387,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-141.10267952533854,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-108.78958994232036,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,10,-42.05949688295931,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-34.00269315179649,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-114.93696252576902,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,2,-57.394354020343776,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-69.96860439331427,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,3,-25.572745012350826,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-44.00803382106456,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-26.344633366844228,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-162.7933079685732,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-34.231679786184785,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-174.9659749465214,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,5,6.399438649144534,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-13.053246934639382,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,15.192533150804422,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,2,-40.68934469045347,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,8,-15.831871165490474,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-18.793982693982677,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,10,-70.29671330597148,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",20,0,8.335505029313678,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-12.404655512911699,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-38.2426696109379,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,12,30.33382048988542,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-66.03506100233902,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,13,10.799540951587272,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,3,35.58346829000452,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
