trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.55, 'e': 1.0}",20,0,-100.62794132934538,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.55, 'e': 0.998}",25,0,-86.57538168473096,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.55, 'e': 0.996004}",20,0,-171.47965185850137,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.55, 'e': 0.994011992}",20,0,-163.90024648770984,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.55, 'e': 0.992023968016}",25,0,-103.72678885585987,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.55, 'e': 0.990039920079968}",30,0,-132.7519470951974,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.55, 'e': 0.9880598402398081}",25,0,-130.29340117250354,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
8,False,"{'a': 0.55, 'e': 0.9860837205593285}",25,0,-101.98880690079055,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.55, 'e': 0.9841115531182097}",25,0,-37.54841929308211,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.55, 'e': 0.9821433300119734}",30,0,-119.85120180251666,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.55, 'e': 0.9801790433519494}",35,0,-192.35785490082154,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.55, 'e': 0.9782186852652455}",30,0,-177.3351711580823,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
13,False,"{'a': 0.55, 'e': 0.976262247894715}",25,0,-113.29637648241601,"{0: 13, 1: 0, 2: 11, 3: 1, 4: 0}",0
14,False,"{'a': 0.55, 'e': 0.9743097233989256}",20,0,-80.11624220376832,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.55, 'e': 0.9723611039521277}",30,0,-202.60565547447695,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
16,False,"{'a': 0.55, 'e': 0.9704163817442235}",20,0,-124.71217549168082,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.55, 'e': 0.9684755489807351}",20,0,-42.264710520549876,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.55, 'e': 0.9665385978827735}",25,0,-164.03384295448814,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.55, 'e': 0.964605520687008}",25,0,-115.52786971566182,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
