trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.65433192572846,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.0014571887618,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.66284282823945,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-218.04663113035633,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.39114549267137,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.1372501375044,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.85711055956317,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.09600450495958,"{0: 17, 1: 1, 2: 7, 3: 4, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.24625371696716,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.7171963139456,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.634727817397,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,6,-43.37028882018895,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,10,-79.80336669760072,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.88976237051085,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.87184657974234,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.80692975509903,"{0: 16, 1: 5, 2: 7, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-190.64021157722934,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.53940882991192,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-64.04421494477718,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.75439822525868,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-197.60913818462856,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.75623693524398,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.3478391697605,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.8356469589816,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.71596827286369,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.28626212154926,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.09415078069962,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.43583118544359,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.78210725659142,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
